Best parameters set found on development set:

{'min_samples_leaf': 9, 'min_samples_split': 42}

Grid scores on development set:
0.874 (+/-0.039) for {'min_samples_leaf': 7, 'min_samples_split': 54}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 55}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 56}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 57}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 58}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 59}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 60}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 61}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 62}
0.874 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 63}
0.875 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 64}
0.875 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 65}
0.875 (+/-0.037) for {'min_samples_leaf': 7, 'min_samples_split': 66}
0.874 (+/-0.038) for {'min_samples_leaf': 7, 'min_samples_split': 67}
0.874 (+/-0.038) for {'min_samples_leaf': 7, 'min_samples_split': 68}
0.874 (+/-0.038) for {'min_samples_leaf': 7, 'min_samples_split': 69}
0.874 (+/-0.048) for {'min_samples_leaf': 8, 'min_samples_split': 40}
0.874 (+/-0.047) for {'min_samples_leaf': 8, 'min_samples_split': 41}
0.874 (+/-0.047) for {'min_samples_leaf': 8, 'min_samples_split': 42}
0.874 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 43}
0.873 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 44}
0.873 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 45}
0.873 (+/-0.044) for {'min_samples_leaf': 8, 'min_samples_split': 46}
0.873 (+/-0.044) for {'min_samples_leaf': 8, 'min_samples_split': 47}
0.873 (+/-0.044) for {'min_samples_leaf': 8, 'min_samples_split': 48}
0.873 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 49}
0.872 (+/-0.044) for {'min_samples_leaf': 8, 'min_samples_split': 50}
0.872 (+/-0.044) for {'min_samples_leaf': 8, 'min_samples_split': 51}
0.872 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 52}
0.872 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 53}
0.872 (+/-0.046) for {'min_samples_leaf': 8, 'min_samples_split': 54}
0.874 (+/-0.042) for {'min_samples_leaf': 8, 'min_samples_split': 55}
0.874 (+/-0.042) for {'min_samples_leaf': 8, 'min_samples_split': 56}
0.874 (+/-0.042) for {'min_samples_leaf': 8, 'min_samples_split': 57}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 58}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 59}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 60}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 61}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 62}
0.874 (+/-0.042) for {'min_samples_leaf': 8, 'min_samples_split': 63}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 64}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 65}
0.873 (+/-0.042) for {'min_samples_leaf': 8, 'min_samples_split': 66}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 67}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 68}
0.874 (+/-0.041) for {'min_samples_leaf': 8, 'min_samples_split': 69}
0.875 (+/-0.044) for {'min_samples_leaf': 9, 'min_samples_split': 40}
0.875 (+/-0.044) for {'min_samples_leaf': 9, 'min_samples_split': 41}
0.876 (+/-0.043) for {'min_samples_leaf': 9, 'min_samples_split': 42}
0.875 (+/-0.043) for {'min_samples_leaf': 9, 'min_samples_split': 43}
0.874 (+/-0.042) for {'min_samples_leaf': 9, 'min_samples_split': 44}
0.874 (+/-0.042) for {'min_samples_leaf': 9, 'min_samples_split': 45}
0.875 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 46}
0.875 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 47}
0.874 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 48}
0.874 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 49}
0.874 (+/-0.040) for {'min_samples_leaf': 9, 'min_samples_split': 50}
0.874 (+/-0.040) for {'min_samples_leaf': 9, 'min_samples_split': 51}
0.874 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 52}
0.874 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 53}
0.874 (+/-0.041) for {'min_samples_leaf': 9, 'min_samples_split': 54}
0.874 (+/-0.040) for {'min_samples_leaf': 9, 'min_samples_split': 55}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 56}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 57}
0.876 (+/-0.037) for {'min_samples_leaf': 9, 'min_samples_split': 58}
0.876 (+/-0.037) for {'min_samples_leaf': 9, 'min_samples_split': 59}
0.875 (+/-0.037) for {'min_samples_leaf': 9, 'min_samples_split': 60}
0.875 (+/-0.037) for {'min_samples_leaf': 9, 'min_samples_split': 61}
0.875 (+/-0.037) for {'min_samples_leaf': 9, 'min_samples_split': 62}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 63}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 64}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 65}
0.875 (+/-0.039) for {'min_samples_leaf': 9, 'min_samples_split': 66}
0.875 (+/-0.038) for {'min_samples_leaf': 9, 'min_samples_split': 67}
0.875 (+/-0.038) for {'min_samples_leaf': 9, 'min_samples_split': 68}
0.875 (+/-0.038) for {'min_samples_leaf': 9, 'min_samples_split': 69}

Detailed classification report:

The model is trained on the full development set.
The scores are computed on the full evaluation set.

Train Time:  0.12538821100000064

Test Time:  0.0006401250000038772

Final Performance on Test Set
