Best parameters set found on development set:

{'min_samples_leaf': 1, 'min_samples_split': 63}

Grid scores on development set:
0.672 (+/-0.074) for {'min_samples_leaf': 7, 'min_samples_split': 54}
0.672 (+/-0.075) for {'min_samples_leaf': 7, 'min_samples_split': 55}
0.669 (+/-0.086) for {'min_samples_leaf': 7, 'min_samples_split': 56}
0.671 (+/-0.086) for {'min_samples_leaf': 7, 'min_samples_split': 57}
0.668 (+/-0.078) for {'min_samples_leaf': 7, 'min_samples_split': 58}
0.668 (+/-0.077) for {'min_samples_leaf': 7, 'min_samples_split': 59}
0.668 (+/-0.077) for {'min_samples_leaf': 7, 'min_samples_split': 60}
0.668 (+/-0.078) for {'min_samples_leaf': 7, 'min_samples_split': 61}
0.668 (+/-0.078) for {'min_samples_leaf': 7, 'min_samples_split': 62}
0.670 (+/-0.081) for {'min_samples_leaf': 7, 'min_samples_split': 63}
0.670 (+/-0.081) for {'min_samples_leaf': 7, 'min_samples_split': 64}
0.670 (+/-0.082) for {'min_samples_leaf': 7, 'min_samples_split': 65}
0.670 (+/-0.086) for {'min_samples_leaf': 7, 'min_samples_split': 66}
0.670 (+/-0.084) for {'min_samples_leaf': 7, 'min_samples_split': 67}
0.675 (+/-0.086) for {'min_samples_leaf': 7, 'min_samples_split': 68}
0.674 (+/-0.089) for {'min_samples_leaf': 7, 'min_samples_split': 69}
0.663 (+/-0.062) for {'min_samples_leaf': 8, 'min_samples_split': 40}
0.660 (+/-0.068) for {'min_samples_leaf': 8, 'min_samples_split': 41}
0.659 (+/-0.066) for {'min_samples_leaf': 8, 'min_samples_split': 42}
0.661 (+/-0.077) for {'min_samples_leaf': 8, 'min_samples_split': 43}
0.662 (+/-0.076) for {'min_samples_leaf': 8, 'min_samples_split': 44}
0.660 (+/-0.074) for {'min_samples_leaf': 8, 'min_samples_split': 45}
0.663 (+/-0.078) for {'min_samples_leaf': 8, 'min_samples_split': 46}
0.663 (+/-0.078) for {'min_samples_leaf': 8, 'min_samples_split': 47}
0.663 (+/-0.082) for {'min_samples_leaf': 8, 'min_samples_split': 48}
0.669 (+/-0.081) for {'min_samples_leaf': 8, 'min_samples_split': 49}
0.671 (+/-0.080) for {'min_samples_leaf': 8, 'min_samples_split': 50}
0.671 (+/-0.080) for {'min_samples_leaf': 8, 'min_samples_split': 51}
0.671 (+/-0.081) for {'min_samples_leaf': 8, 'min_samples_split': 52}
0.671 (+/-0.081) for {'min_samples_leaf': 8, 'min_samples_split': 53}
0.672 (+/-0.075) for {'min_samples_leaf': 8, 'min_samples_split': 54}
0.672 (+/-0.075) for {'min_samples_leaf': 8, 'min_samples_split': 55}
0.669 (+/-0.084) for {'min_samples_leaf': 8, 'min_samples_split': 56}
0.672 (+/-0.083) for {'min_samples_leaf': 8, 'min_samples_split': 57}
0.669 (+/-0.078) for {'min_samples_leaf': 8, 'min_samples_split': 58}
0.668 (+/-0.077) for {'min_samples_leaf': 8, 'min_samples_split': 59}
0.668 (+/-0.077) for {'min_samples_leaf': 8, 'min_samples_split': 60}
0.668 (+/-0.077) for {'min_samples_leaf': 8, 'min_samples_split': 61}
0.668 (+/-0.077) for {'min_samples_leaf': 8, 'min_samples_split': 62}
0.670 (+/-0.080) for {'min_samples_leaf': 8, 'min_samples_split': 63}
0.670 (+/-0.080) for {'min_samples_leaf': 8, 'min_samples_split': 64}
0.670 (+/-0.081) for {'min_samples_leaf': 8, 'min_samples_split': 65}
0.671 (+/-0.084) for {'min_samples_leaf': 8, 'min_samples_split': 66}
0.670 (+/-0.084) for {'min_samples_leaf': 8, 'min_samples_split': 67}
0.675 (+/-0.085) for {'min_samples_leaf': 8, 'min_samples_split': 68}
